Hospital,Year,Hospital Group,Bed Type,Public,Private,Non designated,Total
Letterkenny General Hospital,2012,WEST REGION,Number of Day beds/plaecs available,54,4,9,67
Mayo General Hospital,2012,WEST REGION,Number of Day beds/plaecs available,21,4,4,29
**Sligo General Hospital,2012,WEST REGION,Number of Day beds/plaecs available,40,14,13,67
Portiuncula Hospital Ballinasloe,2012,GALWAY HOSPITAL REGION,Number of Day beds/plaecs available,13,5,12,30
Roscommon County Hospital*,2012,GALWAY HOSPITAL REGION,Number of Day beds/plaecs available,12,2,0,14
University Hospital Galway*,2012,GALWAY HOSPITAL REGION,Number of Day beds/plaecs available,116,22,12,150
Mid Western Regional Hospital Dooradoyle,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,74,12,11,97
Mid Western Regional Hospital Ennis,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,13,3,0,16
Mid Western Regional Hospital Nenagh,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,8,3,0,11
Mid Western Regional Maternity Hospital ,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,0,0,0,0
Mid Western Regional Orthopaedic Hospital Croom,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,5,5,0,10
St. John's Hospital Limerick,2012,MID-WESTERN HOSPITAL REGION,Number of Day beds/plaecs available,0,0,10,10
