Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Speciality,Adult/Child,Age Profile,Time Band,Total
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64, 3-6 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64, 6-9 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64, 9-12 Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64,12-15 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64,15-18 Months,14
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64,18+ Months,117
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 0-3 Months,322
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 3-6 Months,262
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 6-9 Months,333
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 9-12 Months,382
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,12-15 Months,291
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,15-18 Months,263
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,18+ Months,995
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 3-6 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 9-12 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,12-15 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,15-18 Months,14
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,18+ Months,59
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15, 0-3 Months,361
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15, 3-6 Months,223
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15, 6-9 Months,123
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15, 9-12 Months,58
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15,12-15 Months,37
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15,15-18 Months,43
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,0-15,18+ Months,45
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64, 0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64, 3-6 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64, 6-9 Months,16
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64, 9-12 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64,12-15 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64,15-18 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1300,Neurology,Child,16-64,18+ Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 0-3 Months,49
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 3-6 Months,28
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 6-9 Months,19
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 9-12 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15,12-15 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64, 9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15, 0-3 Months,41
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15, 3-6 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15, 6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15, 9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15,12-15 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15,15-18 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,0-15,18+ Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1400,Neurosurgery,Child,16-64,15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 0-3 Months,53
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 3-6 Months,48
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 6-9 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64, 3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64,12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 0-3 Months,725
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 3-6 Months,443
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 6-9 Months,379
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 9-12 Months,381
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,12-15 Months,222
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,15-18 Months,287
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,18+ Months,1491
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 0-3 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 3-6 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 6-9 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 9-12 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,12-15 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,15-18 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,18+ Months,117
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15, 0-3 Months,814
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15, 3-6 Months,589
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15, 6-9 Months,538
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15, 9-12 Months,415
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15,12-15 Months,293
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15,15-18 Months,226
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,0-15,18+ Months,291
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64, 0-3 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64, 3-6 Months,23
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64, 6-9 Months,22
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64, 9-12 Months,20
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64,12-15 Months,21
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64,15-18 Months,32
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Child,16-64,18+ Months,49
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,25
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 0-3 Months,1304
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 3-6 Months,776
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 6-9 Months,621
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 9-12 Months,632
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,12-15 Months,502
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,15-18 Months,367
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,18+ Months,1052
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 0-3 Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 3-6 Months,12
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 6-9 Months,12
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 9-12 Months,10
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,12-15 Months,23
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,15-18 Months,22
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,18+ Months,86
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 0-3 Months,704
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 3-6 Months,515
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 6-9 Months,543
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 9-12 Months,447
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,12-15 Months,341
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,15-18 Months,318
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,18+ Months,463
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 0-3 Months,23
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 3-6 Months,10
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 6-9 Months,20
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 9-12 Months,27
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,12-15 Months,24
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,15-18 Months,25
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,18+ Months,41
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15, 0-3 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15, 3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15, 6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15,15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15,18+ Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 0-3 Months,135
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 3-6 Months,125
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 6-9 Months,75
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 9-12 Months,25
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15,12-15 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15,15-18 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 0-3 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 3-6 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 6-9 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,236
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,173
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,94
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,96
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,62
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,68
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,18+ Months,231
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,18+ Months,32
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 0-3 Months,142
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 3-6 Months,57
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 6-9 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 9-12 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 0-3 Months,106
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 3-6 Months,66
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 6-9 Months,20
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,12-15 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64,12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 0-3 Months,91
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,86
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 6-9 Months,59
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 9-12 Months,61
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,16
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,142
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,111
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,82
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,92
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,12-15 Months,75
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,15-18 Months,83
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,18+ Months,145
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 0-3 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,12-15 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,15-18 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,18+ Months,21
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,125
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,137
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,95
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,86
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,12-15 Months,65
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,15-18 Months,59
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,18+ Months,62
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64, 3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64, 6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64,15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 0-3 Months,349
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 3-6 Months,238
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 6-9 Months,193
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 9-12 Months,162
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15,12-15 Months,140
